Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Region,State,City,Product_ID,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Unit_Cost,Shipping_Cost,Marketing_Cost,Payment_Mode,Sales_Channel,Order_Status,Salesperson,Production_City,Customer_Rating,Return_Reason
ORD000023,2024-04-08,C0486,Customer 486,Consumer,North,Rajasthan,Udaipur,P012,Office Supplies,Pen Box,2,164.23,15,91.97,200,7.7,COD,Online,Delivered,Ramesh,Mysuru,4,
ORD000024,2024-08-07,C0259,Customer 259,Corporate,South,Karnataka,Mysuru,P010,Office Supplies,Notebook Pack,4,207.95,5,134.44,450,32.63,COD,Distributor,Delivered,Nitin,Ahmedabad,,
ORD000025,2025-12-24,C0345,Customer 345,Consumer,East,West Bengal,Kolkata,P009,Furniture,Sofa,3,20798.24,11,20876.78,300,2747.73,Wallet,Marketplace,Delivered,Jay,Ahmedabad,3,
ORD000026,2024-11-17,C0586,Customer 586,Consumer,South,Karnataka,Mysuru,P007,Furniture,Study Table,2,8108.91,22,7629.57,150,400.41,Credit Card,Distributor,Returned,Nitin,Chennai,2,Wrong Product
ORD000027,2024-04-14,C0431,Customer 431,Consumer,South,Tamil Nadu,Chennai,P011,Office Supplies,Printer Paper,2,346.76,10,249.79,200,24.29,COD,Distributor,Delivered,Farhan,Bengaluru,1,
ORD000028,2024-12-06,C0584,Customer 584,Consumer,North,Uttar Pradesh,Noida,P015,Appliances,Mixer Grinder,1,3175.46,35,2439.66,250,65,Credit Card,Marketplace,Delivered,Sonal,Chennai,2,
ORD000029,2025-10-01,C0393,Customer 393,Consumer,North,Delhi,Delhi,P001,Electronics,Laptop,1,50939.41,15,39563.26,200,1085.69,Credit Card,Online,Delivered,Farhan,Bengaluru,5,
ORD000030,2024-06-21,C0298,Customer 298,Consumer,West,Gujarat,Ahmedabad,P015,Appliances,Mixer Grinder,4,3793.29,5,2757.83,450,166.24,Credit Card,Online,Delivered,Asha,Pune,5,
ORD000031,2024-06-19,C0656,Customer 656,Home Office,West,Maharashtra,Mumbai,P009,Furniture,Sofa,5,24132.21,15,17975.02,810,1952.27,Net Banking,Retail Store,Delivered,Kavita,Nagpur,,
ORD000032,2024-11-03,C0533,Customer 533,Home Office,East,Odisha,Bhubaneswar,P009,Furniture,Sofa,3,20080.97,7,19467.86,200,2945.75,Credit Card,Distributor,Delivered,Farhan,Kolkata,3,
ORD000033,2025-09-09,C0493,Customer 493,Corporate,West,Gujarat,Ahmedabad,P011,Office Supplies,Printer Paper,1,356.11,7,276.86,120,19.67,Net Banking,Distributor,Delivered,Jay,Pune,4,
ORD000034,2025-01-28,C0369,Customer 369,Consumer,West,Maharashtra,Nagpur,P011,Office Supplies,Printer Paper,2,349.73,0,247.5,600,40.4,Wallet,Online,Delivered,Mehul,Nagpur,3,
ORD000035,2025-05-06,C0395,Meera Joshi,Consumer,South,Telangana,Hyderabad,P016,Appliances,Water Purifier,5,12357.63,0,10565.57,1080,1177.87,COD,Online,Delivered,Imran,Bengaluru,4,
ORD000036,2025-01-27,C0268,Customer 268,Corporate,West,Maharashtra,Mumbai,P011,Office Supplies,Printer Paper,1,441.38,3,284.64,120,13.97,Net Banking,Distributor,Delivered,Farhan,Pune,2,
ORD000037,2024-02-25,C0659,Customer 659,Consumer,North,Rajasthan,Jaipur,P006,Furniture,Office Chair,2,6071.12,5,5611.46,200,455.64,Net Banking,Retail Store,Delivered,Sonal,Bengaluru,4,
ORD000038,2025-12-13,C0324,Customer 324,Home Office,North,Rajasthan,Jodhpur,P004,Electronics,Monitor,15,11007.57,7,8901.65,360,7055.27,Debit Card,Online,Delivered,Kavita,Bengaluru,4,
ORD000039,2025-12-01,C0373,Customer 373,Corporate,West,Gujarat,Ahmedabad,P015,Appliances,Mixer Grinder,1,3415.47,28,2678.34,120,41.97,Credit Card,Marketplace,Delivered,Sonal,Hyderabad,3,
ORD000040,2024-12-31,C0469,Customer 469,Consumer,South,Tamil Nadu,Chennai,P007,Furniture,Study Table,4,10445.32,7,8157.7,150,2431.37,COD,Online,Delivered,Nitin,Ahmedabad,4,
ORD000041,2025-03-20,C0182,Customer 182,Consumer,South,Telangana,Hyderabad,P006,Furniture,Office Chair,4,7707.21,7,5745.35,200,730.02,Debit Card,Marketplace,Delivered,Imran,Noida,2,
ORD000042,2025-02-14,C0561,TCS Purchase,Corporate,West,Gujarat,Gandhinagar,P011,Office Supplies,Printer Paper,4,309.18,3,279.46,150,43.53,Wallet,Online,Delivered,Mehul,Noida,5,
ORD000043,2024-01-24,C0547,Customer 547,Small Business,South,Karnataka,Bengaluru,P010,Office Supplies,Notebook Pack,6,248.5,0,123.14,270,88.23,Credit Card,Online,Delivered,Jay,Nagpur,2,
ORD000044,2025-08-06,C0692,Customer 692,Consumer,West,Maharashtra,Mumbai,P008,Furniture,Bookshelf,4,6988.83,3,4328.08,300,1629.56,UPI,Distributor,Delivered,Kavita,Surat,5,
ORD000045,2025-07-14,C0649,Customer 649,Consumer,East,Bihar,Patna,P012,Office Supplies,Pen Box,4,150.96,18,108.57,450,7.27,COD,Distributor,Delivered,Imran,Nagpur,2,
ORD000046,2024-06-18,C0159,Customer 159,Corporate,North,Delhi,Delhi,P002,Electronics,Smartphone,1,31811.2,10,21462.43,120,1565.16,Credit Card,Retail Store,Delivered,Nitin,Chennai,1,
ORD000047,2024-08-18,C0358,Customer 358,Home Office,North,Rajasthan,Jodhpur,P008,Furniture,Bookshelf,6,4736.98,7,4446.24,144,447.25,Net Banking,Retail Store,In Transit,Asha,Lucknow,5,
ORD000048,2025-01-09,C0117,Customer 117,Corporate,South,Tamil Nadu,Chennai,P013,Office Supplies,Stapler,1,300.87,,187.7,200,7.83,UPI,Retail Store,Delivered,Nitin,Gandhinagar,5,
ORD000049,2024-02-17,C0435,Customer 435,Consumer,South,Karnataka,Bengaluru,P004,Electronics,Monitor,1,16024.13,12,9644.54,600,734.6,UPI,Online,Delivered,Imran,Ahmedabad,3,
ORD000050,2024-07-06,C0398,Customer 398,Small Business,North,Rajasthan,Udaipur,P015,Appliances,Mixer Grinder,3,2834.93,10,2536.72,120,208.3,UPI,Distributor,Delivered,Priyanka,Chennai,4,
ORD000051,2024-10-06,C0140,Customer 140,Small Business,North,Rajasthan,Udaipur,P013,Office Supplies,Stapler,5,246.21,15,171.63,270,19.9,COD,Marketplace,In Transit,Nitin,Ahmedabad,5,
ORD000052,2024-02-03,C0353,Customer 353,Corporate,South,Telangana,Hyderabad,P007,Furniture,Study Table,2,9769.48,15,7257.35,80,1027.15,Net Banking,Online,Delivered,Jay,Patna,,
ORD000053,2024-05-05,C0339,Customer 339,Consumer,West,Gujarat,Gandhinagar,P012,Office Supplies,Pen Box,1,172.87,3,107.35,150,6.62,Debit Card,Marketplace,Delivered,Imran,Lucknow,1,
ORD000054,2024-03-10,C0284,Customer 284,Corporate,East,Bihar,Patna,P012,Office Supplies,Pen Box,1,142.16,3,97.07,150,7.76,Debit Card,Online,Delivered,Sonal,Mumbai,1,
ORD000055,2025-09-04,C0605,Customer 605,Corporate,North,Delhi,Delhi,P007,Furniture,Study Table,8,11589.37,12,7624.27,450,1547.79,COD,Online,Cancelled,Farhan,Kolkata,3,
ORD000056,2024-11-16,C0629,Customer 629,Corporate,West,Gujarat,Ahmedabad,P006,Furniture,Office Chair,4,7253.57,15,5422.13,300,348.78,Credit Card,Online,Delivered,Jay,Chennai,3,
ORD000057,2025-09-06,C0398,Customer 398,Small Business,North,Rajasthan,Udaipur,P016,Appliances,Water Purifier,8,10140.15,28,9415.26,270,2338.97,COD,Online,Delivered,Nitin,Bengaluru,3,
ORD000058,2024-12-27,C0354,Customer 354,Consumer,West,Maharashtra,Pune,P016,Appliances,Water Purifier,5,14121.72,3,10068.4,270,1261.63,Net Banking,Distributor,Delivered,Sonal,Pune,4,
ORD000059,2025-06-02,C0421,Customer 421,Consumer,East,West Bengal,Kolkata,P001,Electronics,Laptop,1,40453.48,26,41048.61,80,2181.47,Credit Card,Marketplace,Delivered,Asha,Ahmedabad,4,
ORD000060,2024-10-07,C0597,Customer 597,Consumer,West,Maharashtra,Nagpur,P006,Furniture,Office Chair,3,6252.85,7,5785.8,120,203.12,COD,Marketplace,Delivered,Imran,Kolkata,5,
ORD000061,2025-12-07,C0545,Krishna Jain,Small Business,North,Delhi,Delhi,P017,Appliances,LED Bulb Pack,4,569.46,0,275.04,300,122.41,Credit Card,Marketplace,Delivered,Farhan,Hyderabad,3,
ORD000062,2024-07-16,C0101,Customer 101,Consumer,West,Gujarat,Ahmedabad,P014,Appliances,Air Cooler,1,9197.41,15,6241.25,80,357.77,UPI,Marketplace,Delivered,Kavita,Chennai,,
ORD000063,2024-01-14,C0600,Customer 600,Consumer,West,Maharashtra,Mumbai,P009,Furniture,Sofa,1,27060.08,5,21244.66,600,512.41,COD,Marketplace,Delivered,Jay,Patna,3,
ORD000064,2024-02-23,C0676,Customer 676,Consumer,North,Rajasthan,Udaipur,P004,Electronics,Monitor,4,9999.77,20,9233.89,150,1178.18,Credit Card,Marketplace,Delivered,Asha,Ahmedabad,4,
ORD000065,2025-11-19,C0394,Customer 394,Consumer,North,Delhi,Delhi,P013,Office Supplies,Stapler,3,334.72,12,193.65,250,19.82,COD,Retail Store,Delivered,Asha,Kolkata,2,
ORD000066,2024-09-06,C0089,Customer 89,Corporate,North,Uttar Pradesh,Lucknow,P009,Furniture,Sofa,5,20536.88,10,19490.65,540,2810.86,Credit Card,Retail Store,Delivered,Priyanka,Nagpur,4,
ORD000067,2024-05-18,C0075,Customer 75,Consumer,West,Gujarat,Ahmedabad,P017,Appliances,LED Bulb Pack,1,540.11,12,292.56,450,20.61,Net Banking,Marketplace,Delivered,Asha,Bengaluru,1,
ORD000068,2025-08-23,C0226,Customer 226,Corporate,West,Maharashtra,Pune,P008,Furniture,Bookshelf,5,6327.12,3,4251.64,540,436.62,Net Banking,Distributor,Delivered,Mehul,Udaipur,2,
ORD000069,2025-03-09,C0195,Customer 195,Consumer,South,Tamil Nadu,Chennai,P016,Appliances,Water Purifier,4,11749.95,15,9659.66,120,2632.43,UPI,Online,Delivered,Priyanka,Chennai,3,
ORD000070,2025-10-30,C0282,Customer 282,Small Business,South,Karnataka,Bengaluru,P016,Appliances,Water Purifier,1,13794.15,0,10670.33,80,484.5,Net Banking,Online,Delivered,Nitin,Pune,4,
ORD000071,2025-08-17,C0104,Customer 104,Consumer,West,Gujarat,Gandhinagar,P011,Office Supplies,Printer Paper,2,313.17,22,261.01,200,19.39,Debit Card,Marketplace,Delivered,Jay,Lucknow,4,
ORD000072,2024-10-25,C0103,Customer 103,Consumer,East,West Bengal,Kolkata,P009,Furniture,Sofa,5,18781.38,10,20535.14,540,4626.48,Debit Card,Online,Delivered,Farhan,Delhi,1,
ORD000073,2025-01-18,C0645,Customer 645,Corporate,South,Karnataka,Mysuru,P004,Electronics,Monitor,2,11094.75,3,10568.23,200,861.9,Debit Card,Distributor,Delivered,Mehul,Pune,,
ORD000074,2024-05-30,C0629,Customer 629,Corporate,West,Gujarat,Ahmedabad,P010,Office Supplies,Notebook Pack,2,249.03,5,136.29,120,6.95,Credit Card,Distributor,Returned,Mehul,Noida,,Wrong Product
ORD000075,2025-09-09,C0372,Customer 372,Consumer,West,Gujarat,Gandhinagar,P017,Appliances,LED Bulb Pack,12,382.79,10,284.84,810,69.59,COD,Online,Delivered,Ramesh,Hyderabad,4,
ORD000076,2025-06-06,C0087,Customer 87,Consumer,West,Maharashtra,Pune,P013,Office Supplies,Stapler,2,327.8,15,165.96,300,34.89,COD,Distributor,Returned,Nitin,Hyderabad,4,Late Delivery
ORD000077,2025-09-10,C0647,Customer 647,Consumer,North,Delhi,Delhi,P014,Appliances,Air Cooler,3,8875.22,12,6559.19,150,670.4,Credit Card,Distributor,Delivered,Jay,Chennai,4,
ORD000078,2024-07-31,C0307,Customer 307,Consumer,North,Uttar Pradesh,Lucknow,P001,Electronics,Laptop,5,46628.07,3,41326.06,810,11988.39,UPI,Marketplace,Delivered,Kavita,Bengaluru,5,
ORD000079,2025-11-03,C0292,Customer 292,Small Business,West,Gujarat,Surat,P009,Furniture,Sofa,2,22159.65,7,19931.5,300,486.17,COD,Online,Delivered,Imran,Surat,1,
ORD000080,2024-02-16,C0093,Customer 93,Corporate,South,Karnataka,Mysuru,P005,Electronics,Keyboard,1,833.71,5,545.83,150,10.67,COD,Marketplace,Delivered,Imran,Ahmedabad,2,
ORD000081,2024-12-23,C0255,Customer 255,Small Business,South,Telangana,Hyderabad,P013,Office Supplies,Stapler,5,295.8,12,177.17,810,65.18,Debit Card,Retail Store,Delivered,Ramesh,Delhi,,
ORD000082,2024-06-16,C0204,Riya Choudhary,Consumer,North,Rajasthan,Udaipur,P012,Office Supplies,Pen Box,6,142.52,15,102.28,144,33.4,Wallet,Retail Store,Delivered,Mehul,Chennai,1,
ORD000083,2025-10-09,C0641,Customer 641,Corporate,North,Rajasthan,Udaipur,P002,Electronics,Smartphone,1,22644.16,3,19503.31,600,1056.56,Debit Card,Retail Store,Delivered,Jay,Hyderabad,1,
ORD000084,2025-12-18,C0195,Customer 195,Consumer,South,Tamil Nadu,Chennai,P006,Furniture,Office Chair,3,7463.36,15,5455.65,250,830.23,UPI,Marketplace,Delivered,Imran,Hyderabad,1,
ORD000085,2024-11-13,C0065,Customer 65,Corporate,South,Telangana,Hyderabad,P013,Office Supplies,Stapler,1,303.5,5,171.13,80,15.71,Credit Card,Online,Delivered,Kavita,Jodhpur,1,
ORD000086,2025-09-22,C0674,Customer 674,Consumer,North,Delhi,Delhi,P016,Appliances,Water Purifier,3,13136.01,0,10390.55,120,1316.34,COD,Marketplace,Cancelled,Mehul,Bengaluru,,
ORD000087,2024-11-19,C0312,Customer 312,Corporate,East,West Bengal,Kolkata,P003,Electronics,Bluetooth Speaker,10,2654.07,3,1901.4,810,1255.52,Wallet,Marketplace,In Transit,Farhan,Bengaluru,1,
ORD000088,2025-05-27,C0162,Customer 162,Consumer,West,Maharashtra,Nagpur,P015,Appliances,Mixer Grinder,10,3259.61,5,2685.53,360,1243.78,COD,Distributor,Delivered,Mehul,Hyderabad,4,
ORD000089,2025-01-07,C0611,Customer 611,Consumer,West,Maharashtra,Pune,P001,Electronics,Laptop,2,52688.39,15,38780.72,250,5896.42,COD,Retail Store,In Transit,Sonal,Chennai,1,
ORD000090,2024-04-07,C0256,Customer 256,Consumer,North,Rajasthan,Jaipur,P008,Furniture,Bookshelf,1,5572.25,0,3874.6,120,221.56,UPI,Marketplace,Delivered,Sonal,Delhi,1,
ORD000091,2024-06-30,C0124,Customer 124,Home Office,South,Karnataka,Bengaluru,P008,Furniture,Bookshelf,4,6908.73,0,4198.11,300,970.54,Credit Card,Online,Delivered,Farhan,Pune,4,
ORD000092,2024-10-07,C0404,Customer 404,Consumer,South,Tamil Nadu,Chennai,P005,Electronics,Keyboard,1,878.72,0,535.52,150,29.92,Net Banking,Retail Store,Delivered,Nitin,Hyderabad,5,
ORD000093,2024-01-08,C0441,Customer 441,Consumer,North,Delhi,Delhi,P011,Office Supplies,Printer Paper,4,403.59,3,265.99,250,29.81,COD,Marketplace,Delivered,Asha,Lucknow,2,
ORD000094,2025-09-07,C0160,Customer 160,Consumer,East,West Bengal,Kolkata,P003,Electronics,Bluetooth Speaker,1,2754.52,27,2022.75,200,55.61,COD,Marketplace,Delivered,Asha,Bengaluru,,
ORD000095,2025-02-09,C0680,Customer 680,Corporate,South,Karnataka,Mysuru,P017,Appliances,LED Bulb Pack,1,417.12,0,279.13,250,18,UPI,Distributor,Delivered,Farhan,Ahmedabad,2,
ORD000096,2024-01-15,C0497,Customer 497,Consumer,West,Gujarat,Ahmedabad,P003,Electronics,Bluetooth Speaker,1,3342.34,3,1717.74,150,36.49,Wallet,Distributor,Delivered,Kavita,Bengaluru,5,
ORD000097,2025-05-27,C0031,Customer 31,Corporate,West,Gujarat,Gandhinagar,P009,Furniture,Sofa,1,19176.43,7,20275.59,200,591.91,Credit Card,Marketplace,Delivered,Jay,Bhubaneswar,5,
ORD000098,2024-10-02,C0555,Customer 555,Corporate,South,Tamil Nadu,Chennai,P007,Furniture,Study Table,6,9683.99,35,7132.47,270,1503.43,COD,Online,Delivered,Imran,Patna,3,
ORD000099,2025-05-21,C0424,Customer 424,Consumer,West,Maharashtra,Nagpur,P014,Appliances,Air Cooler,2,7434.23,0,6805.54,250,598.9,Credit Card,Retail Store,Delivered,Ramesh,Chennai,3,
ORD000100,2025-02-03,C0481,Customer 481,Corporate,North,Rajasthan,Jaipur,P012,Office Supplies,Pen Box,1,168.07,5,94.55,200,7.92,Credit Card,Online,In Transit,Imran,Mumbai,4,
ORD000101,2025-06-26,C0253,Customer 253,Corporate,North,Rajasthan,Jaipur,P014,Appliances,Air Cooler,2,7614,7,6277.99,80,548.7,UPI,Retail Store,Delivered,Nitin,Hyderabad,5,
ORD000102,2024-12-02,C0646,Customer 646,Consumer,South,Tamil Nadu,Chennai,P002,Electronics,Smartphone,1,28211.8,0,20143.66,150,936.04,Wallet,Online,Delivered,Imran,Ahmedabad,5,
ORD000103,2025-08-05,C0462,Customer 462,Home Office,North,Rajasthan,Jodhpur,P001,Electronics,Laptop,1,40566.72,3,40596.53,120,590.63,UPI,Marketplace,Delivered,Nitin,Bengaluru,5,
ORD000104,2024-01-27,C0344,Customer 344,Consumer,East,Bihar,Patna,P005,Electronics,Keyboard,1,653.04,10,526.04,200,6.65,Net Banking,Marketplace,Delivered,Priyanka,Ahmedabad,5,
ORD000105,2025-07-02,C0676,Customer 676,Consumer,North,Rajasthan,Udaipur,P016,Appliances,Water Purifier,2,8899.9,3,10926.41,300,210.68,COD,Distributor,Delivered,Mehul,Chennai,1,
ORD000106,2024-08-04,C0626,Customer 626,Consumer,West,Maharashtra,Pune,P006,Furniture,Office Chair,12,6749.78,5,5628.88,216,1995.91,UPI,Distributor,Delivered,Mehul,Jodhpur,5,
ORD000107,2024-08-20,C0586,Customer 586,Consumer,South,Karnataka,Mysuru,P017,Appliances,LED Bulb Pack,15,428.32,3,298.29,540,362.07,COD,Marketplace,Delivered,Priyanka,Hyderabad,2,
ORD000108,2025-05-08,C0122,Customer 122,Small Business,South,Karnataka,Bengaluru,P001,Electronics,Laptop,2,55380.45,5,41849.4,200,1170.17,Debit Card,Online,Delivered,Jay,Bengaluru,3,
ORD000109,2025-12-23,C0350,Customer 350,Corporate,West,Gujarat,Surat,P013,Office Supplies,Stapler,4,275.46,5,172.74,80,46.59,Credit Card,Marketplace,Delivered,Nitin,Chennai,3,
ORD000110,2024-07-31,C0534,Customer 534,Consumer,East,Bihar,Patna,P010,Office Supplies,Notebook Pack,3,158.51,5,127.86,450,19.65,COD,Marketplace,Returned,Imran,Udaipur,5,Damaged
ORD000111,2025-07-14,C0033,Customer 33,Consumer,North,Rajasthan,Udaipur,P009,Furniture,Sofa,2,18671.85,11,21092.69,120,1202.05,Net Banking,Retail Store,Delivered,Kavita,Ahmedabad,3,
ORD000112,2025-10-09,C0147,Customer 147,Corporate,South,Telangana,Hyderabad,P004,Electronics,Monitor,5,13488.24,5,10182.7,216,1798.29,COD,Distributor,In Transit,Ramesh,Ahmedabad,5,
ORD000113,2024-02-04,C0294,Customer 294,Home Office,West,Maharashtra,Pune,P009,Furniture,Sofa,3,24012.44,0,18157.74,300,2699.11,Credit Card,Distributor,Delivered,Asha,Nagpur,2,
ORD000114,2025-10-08,C0052,Priya Nair,Consumer,West,Gujarat,Surat,P005,Electronics,Keyboard,1,923.96,5,502.96,600,37.71,Credit Card,Online,Delivered,Priyanka,Bengaluru,5,
ORD000115,2024-12-09,C0467,Customer 467,Consumer,East,West Bengal,Kolkata,P010,Office Supplies,Notebook Pack,4,189.21,15,119.37,300,24.72,UPI,Marketplace,Delivered,Sonal,Ahmedabad,3,
ORD000116,2025-07-09,C0589,Customer 589,Consumer,South,Karnataka,Bengaluru,P005,Electronics,Keyboard,2,1016.71,0,551.84,450,44.59,Credit Card,Marketplace,Delivered,Farhan,Chennai,1,
ORD000117,2025-07-12,C0446,Customer 446,Consumer,North,Uttar Pradesh,Lucknow,P011,Office Supplies,Printer Paper,3,294.71,7,295.4,120,45.18,Debit Card,Marketplace,Delivered,Sonal,Udaipur,5,
ORD000118,2024-01-20,C0507,Customer 507,Consumer,East,Odisha,Bhubaneswar,P002,Electronics,Smartphone,1,22838.51,0,21544.53,250,673.72,Credit Card,Retail Store,Delivered,Mehul,Hyderabad,3,
ORD000119,2025-04-23,C0446,Customer 446,Consumer,North,Uttar Pradesh,Lucknow,P012,Office Supplies,Pen Box,20,165.58,15,106.36,144,33.26,Debit Card,Online,Delivered,Jay,Patna,1,
ORD000120,2024-10-25,C0392,Customer 392,Corporate,South,Karnataka,Mysuru,P013,Office Supplies,Stapler,2,244.41,5,167.9,150,8.17,Wallet,Online,Delivered,Imran,Gandhinagar,,
ORD000121,2024-10-09,C0141,Customer 141,Corporate,North,Delhi,Delhi,P014,Appliances,Air Cooler,6,9921.38,5,6662.83,540,1267.18,UPI,Marketplace,Delivered,Kavita,Chennai,,
ORD000122,2024-06-07,C0039,Diya Reddy,Consumer,West,Maharashtra,Pune,P016,Appliances,Water Purifier,4,13628.32,10,9490.65,120,1213.55,COD,Distributor,Delivered,Asha,Chennai,1,
ORD000123,2024-06-04,C0481,Customer 481,Corporate,North,Rajasthan,Jaipur,P011,Office Supplies,Printer Paper,2,335.4,18,248.84,80,27.81,Credit Card,Online,Delivered,Jay,Bhubaneswar,,
ORD000124,2025-08-25,C0285,Customer 285,Consumer,West,Maharashtra,Pune,P009,Furniture,Sofa,1,22738.79,0,17987.73,300,1145.85,Wallet,Retail Store,Delivered,Priyanka,Nagpur,2,
ORD000125,2025-09-02,C0149,Customer 149,Consumer,South,Telangana,Hyderabad,P005,Electronics,Keyboard,5,1022.55,10,562.71,540,65.01,UPI,Retail Store,Delivered,Priyanka,Ahmedabad,4,
ORD000126,2025-12-24,C0240,Customer 240,Home Office,South,Tamil Nadu,Chennai,P013,Office Supplies,Stapler,4,301.67,3,176.28,80,17.94,Wallet,Distributor,Delivered,Farhan,Patna,5,
ORD000127,2024-06-19,C0101,Customer 101,Consumer,West,Gujarat,Ahmedabad,P009,Furniture,Sofa,3,25418.88,7,20291.96,150,1957.01,Wallet,Online,Delivered,Sonal,Ahmedabad,1,
ORD000128,2024-12-06,C0291,Customer 291,Corporate,North,Uttar Pradesh,Noida,P009,Furniture,Sofa,1,25831.59,15,20004.44,120,369.89,Net Banking,Retail Store,Delivered,Sonal,Jodhpur,,
ORD000129,2025-08-19,C0465,Customer 465,Home Office,South,Tamil Nadu,Chennai,P009,Furniture,Sofa,5,24809.95,12,18527.15,540,7417.92,Debit Card,Retail Store,Delivered,Priyanka,Nagpur,1,
